species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Japonactaeon punctostriatus,Japonactaeon punctostriatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Acteonimorpha,NA,NA,Acteonoidea,Acteonidae,NA,Japonactaeon,Acteonidae
Kelliopsis elevata,Kelliopsis elevata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kelliopsis,Montacutinae
Kelliopsis texasiana,Kelliopsis texasiana,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kelliopsis,Montacutinae
Kurtiella planulata,Kurtiella planulata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kurtiella,Montacutinae
Kurtziella cerina,Kurtziella cerina,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Conoidea,Mangeliidae,NA,Kurtziella,Mangeliidae
Ladislavella elodes,Ladislavella elodes,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Lymnaeidae,NA,Ladislavella,Lymnaeidae
Laevicardium mortoni,Laevicardium mortoni,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Cardioidea,Cardiidae,Laevicardiinae,Laevicardium,Cardiidae
Lamychaena hians,Lamychaena hians,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Gastrochaenida,Gastrochaenoidea,Gastrochaenidae,NA,Lamychaena,Gastrochaenidae
Limaria pellucida,Limaria pellucida,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Limida,Limoidea,Limidae,NA,Limaria,Limidae
Lioberus castanea,Lioberus castanea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Limnoperninae,Lioberus,Modiolidae
Longchaeus suturalis,Longchaeus suturalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,NA,Longchaeus,Pyramidellidae
Lucina radians,Lucina radians,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Leucosphaerinae,Callucina,Lucinidae
Lunarca ovalis,Lunarca ovalis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Arcida,Arcoidea,Arcidae,NA,Lunarca,Arcidae
Lymnaea stagnalis,Lymnaea stagnalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,NA,NA,Lymnaea,Lymnaea
